Data,PIB - exportações - bens e serviços - índice real encadeado dessazonalizado (média 1995 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBXBSZAS104,
1996 T1,99.4670436795399,
1996 T2,96.14970443635,
1996 T3,95.7318525317155,
1996 T4,100.593047147717,
1997 T1,105.093282055347,
1997 T2,111.438311866239,
1997 T3,114.606153783759,
1997 T4,110.13230889789,
1998 T1,115.33703621373,
1998 T2,118.368356546412,
1998 T3,114.171617652971,
1998 T4,114.552610170074,
1999 T1,116.076069594705,
1999 T2,118.823436790281,
1999 T3,117.646034280125,
1999 T4,135.971103798389,
2000 T1,132.856439522401,
2000 T2,134.860705594835,
2000 T3,145.356328449438,
2000 T4,141.959437943265,
2001 T1,149.956864345113,
2001 T2,155.02970000972,
2001 T3,149.727909251975,
2001 T4,147.76014492972,
2002 T1,150.226843761886,
2002 T2,138.528392518302,
2002 T3,176.524966640699,
2002 T4,176.639147642508,
2003 T1,171.684578117399,
2003 T2,176.965567038854,
2003 T3,179.43708562237,
2003 T4,185.447344099913,
2004 T1,194.621610851214,
2004 T2,200.812322182066,
2004 T3,204.768080010655,
2004 T4,211.045132701502,
2005 T1,219.553515413783,
2005 T2,223.57001020063,
2005 T3,227.03260713191,
2005 T4,230.418284859698,
2006 T1,233.923129468118,
2006 T2,219.190019967741,
2006 T3,248.411113301497,
2006 T4,242.031885926577,
2007 T1,249.494723938117,
2007 T2,245.436098720289,
2007 T3,249.796427294328,
2007 T4,252.515693864666,
2008 T1,247.357903467057,
2008 T2,257.841744220963,
2008 T3,252.817591278885,
2008 T4,238.140206028317,
2009 T1,222.567095285609,
2009 T2,230.906166986551,
2009 T3,227.059170738313,
2009 T4,229.216650918642,
2010 T1,251.456419553976,
2010 T2,248.645249686307,
2010 T3,256.299613482781,
2010 T4,258.883565725345,
2011 T1,261.652889616331,
2011 T2,264.975551130102,
2011 T3,270.268971675987,
2011 T4,271.781537807343,
2012 T1,269.952786598743,
2012 T2,260.773161379052,
2012 T3,265.42442564618,
2012 T4,275.095520017355,
2013 T1,266.01146757874,
2013 T2,272.549243675114,
2013 T3,268.339810483711,
2013 T4,287.400097660801,
2014 T1,270.841313192289,
2014 T2,266.645146906591,
2014 T3,279.525465372423,
2014 T4,261.825628702978,
2015 T1,277.444725447519,
2015 T2,288.677546682483,
2015 T3,286.758490435989,
2015 T4,298.51034686412,
2016 T1,297.547189090845,
2016 T2,297.426223097665,
2016 T3,283.591431523985,
2016 T4,279.875174279712,
2017 T1,300.038083755654,
2017 T2,306.485426570962,
2017 T3,311.011148377263,
2017 T4,301.245125489433,
2018 T1,314.374306423057,
2018 T2,301.081145963017,
2018 T3,318.854816885594,
2018 T4,328.6352114413,
2019 T1,314.656451928272,
2019 T2,302.520068689933,
2019 T3,303.02981725829,
2019 T4,311.228483052754,
2020 T1,302.723003605114,
2020 T2,301.042585697931,
2020 T3,298.531066647355,
2020 T4,296.134495755721,
2021 T1,308.551448077669,
2021 T2,337.476695917747,
2021 T3,306.422474214385,
2021 T4,304.69162563102,
2022 T1,333.284457283408,
2022 T2,321.973780287331,
2022 T3,332.09452143322,
2022 T4,346.104831230501,
2023 T1,350.982759181145,
2023 T2,361.857202846122,
2023 T3,370.979529458383,
2023 T4,370.940214248306,
2024 T1,371.612212536746,
