Data,PIB - preços básicos - índice real encadeado dessazonalizado (média 1995 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBAS104,
1996 T1,99.898111977024,
1996 T2,100.569165882798,
1996 T3,104.395398378193,
1996 T4,101.894335896367,
1997 T1,103.695069274362,
1997 T2,104.39317366854,
1997 T3,105.412356390881,
1997 T4,106.381939271416,
1998 T1,104.615457864957,
1998 T2,106.353270371033,
1998 T3,106.354740457645,
1998 T4,105.217398740167,
1999 T1,106.273177208615,
1999 T2,106.385020689496,
1999 T3,106.376224895267,
1999 T4,107.60946963641,
2000 T1,108.696649508506,
2000 T2,110.009263231228,
2000 T3,111.409481457993,
2000 T4,112.782785462775,
2001 T1,112.712561823706,
2001 T2,112.711180339986,
2001 T3,112.398439958194,
2001 T4,112.33914209236,
2002 T1,114.993366167598,
2002 T2,115.741688097529,
2002 T3,117.05467828424,
2002 T4,118.383434901639,
2003 T1,117.771114669706,
2003 T2,116.899365494662,
2003 T3,118.17548439274,
2003 T4,119.15023705706,
2004 T1,120.989747543973,
2004 T2,124.098730440748,
2004 T3,125.542137621638,
2004 T4,126.502096670872,
2005 T1,127.556495646959,
2005 T2,129.37013020577,
2005 T3,127.891814406172,
2005 T4,129.397502325799,
2006 T1,131.769758483425,
2006 T2,131.641064479568,
2006 T3,133.864806295164,
2006 T4,135.880664586555,
2007 T1,138.398094179287,
2007 T2,140.006738854027,
2007 T3,141.649219148731,
2007 T4,143.437051153379,
2008 T1,145.074528226219,
2008 T2,148.296973246868,
2008 T3,150.060106956626,
2008 T4,144.655258459973,
2009 T1,143.366528380462,
2009 T2,145.266979612002,
2009 T3,148.487750389242,
2009 T4,152.089492311115,
2010 T1,155.326725072117,
2010 T2,156.879456301155,
2010 T3,158.042976436633,
2010 T4,160.234691134257,
2011 T1,162.59756198639,
2011 T2,163.694081320895,
2011 T3,163.505023197315,
2011 T4,165.043138596374,
2012 T1,162.530351667121,
2012 T2,165.023122338209,
2012 T3,168.106196526092,
2012 T4,167.682149869054,
2013 T1,168.452317614844,
2013 T2,171.461873142989,
2013 T3,171.753523970911,
2013 T4,172.113556712308,
2014 T1,173.735388289357,
2014 T2,170.810172933527,
2014 T3,170.871114253694,
2014 T4,171.618726242626,
2015 T1,170.828855296129,
2015 T2,166.620039965586,
2015 T3,164.454208776191,
2015 T4,163.520893321345,
2016 T1,160.907418133088,
2016 T2,162.060880384439,
2016 T3,160.916270240049,
2016 T4,160.732280509215,
2017 T1,162.628570866517,
2017 T2,163.412594139961,
2017 T3,163.89982446835,
2017 T4,164.730808188285,
2018 T1,165.324892184583,
2018 T2,166.08236793864,
2018 T3,167.24985487262,
2018 T4,166.84416627329,
2019 T1,167.217204369853,
2019 T2,167.607430737613,
2019 T3,167.86702031247,
2019 T4,169.348191945447,
2020 T1,165.613012902025,
2020 T2,151.438682088127,
2020 T3,163.03308630037,
2020 T4,168.599168908827,
2021 T1,170.233618653704,
2021 T2,169.219064831835,
2021 T3,169.419961900263,
2021 T4,171.343725333194,
2022 T1,173.051017398308,
2022 T2,175.140108930092,
2022 T3,177.036523734126,
2022 T4,176.91588864447,
2023 T1,179.705630857801,
2023 T2,181.223076809953,
2023 T3,181.353455816664,
2023 T4,181.161700957575,
2024 T1,182.360534286508,
